Date,Ticker,Open,High,Low,Close,Volume
2023-09-18,SPY,433.0854327520232,434.9622635141281,432.6064627970625,433.65240478515625,55752200
2023-09-19,SPY,432.7237581931341,433.32005430730095,430.04539257632695,432.7530822753906,66514600
2023-09-20,SPY,434.0238779369196,434.44419974165896,428.5693597886313,428.774658203125,82562600
2023-09-21,SPY,425.9007451211827,426.1646618502985,421.53127806299625,421.68768310546875,104095800
2023-09-22,SPY,422.72381367515226,424.33669769127914,420.31911985933135,420.7394714355469,100829700
2023-09-25,SPY,419.51767406424574,422.54792899068275,419.0777829523611,422.50885009765625,70874500
2023-09-26,SPY,419.43940127087836,420.1529936958705,415.4609318360092,416.3016052246094,96168400
2023-09-27,SPY,417.48439133556235,418.0513633643946,412.7923592127114,416.4677734375,104705800
2023-09-28,SPY,415.91059586816203,420.5733036845924,415.3142997859203,418.8822021484375,92258300
2023-09-29,SPY,421.96142773266575,422.13737223678123,416.33096495125204,417.86566162109375,115111300
2023-10-02,SPY,417.0250096098541,418.96048874831854,414.91358595822464,417.6994934082031,83798600
2023-10-03,SPY,415.5000205543484,417.75806421545275,410.7297713171583,412.1080627441406,103760600
2023-10-04,SPY,412.5773548502535,415.86177175888827,411.10130627042383,415.1091003417969,87453000
2023-10-05,SPY,414.8157711179293,415.8030649114694,411.69754435502875,414.95263671875,70142700
2023-10-06,SPY,412.4795812806465,421.43356963087496,411.1403983750862,419.87933349609375,113273300
2023-10-09,SPY,417.9633844028283,423.14420123252046,417.40622681216456,422.5674743652344,80374400
2023-10-10,SPY,423.202855460451,427.38659384117693,422.80207308974036,424.7668762207031,78607300
2023-10-11,SPY,425.84216728820184,426.7609985887564,423.4374729231584,426.5068664550781,62451700
2023-10-12,SPY,427.1226603756323,427.50387345452793,421.5313065125249,423.9066467285156,81154200
2023-10-13,SPY,425.421777892383,426.63390960644494,420.2116668925535,421.79522705078125,95143100
2023-10-16,SPY,424.0630217801987,427.30835928070826,423.81864449548345,426.23309326171875,75433200
2023-10-17,SPY,423.0757354558678,428.2858759632453,422.7238464786613,426.2135314941406,75324700
2023-10-18,SPY,424.42470742733474,425.39243195626887,419.4394047114935,420.5342102050781,93559800
2023-10-19,SPY,421.2576248349315,423.0855623664448,416.15502533712146,416.8392639160156,121323000
2023-10-20,SPY,416.3993794682944,416.94678223342015,411.6095605266244,411.71710205078125,123919900
2023-10-23,SPY,410.172620735965,414.9037915113143,408.4033314720022,411.0035095214844,92035100
2023-10-24,SPY,413.1442641159414,415.26547224008635,411.2772179339079,414.10223388671875,78564200
2023-10-25,SPY,412.4013515290574,412.43067561044523,407.6408568882158,408.158935546875,94223200
2023-10-26,SPY,407.0837332248422,407.94391629421784,402.3428074644633,403.27142333984375,115156800
2023-10-27,SPY,404.8745483717502,405.27533073382756,400.00654169102114,401.4434814453125,107367700
2023-10-30,SPY,404.2587298918982,407.3085540305697,402.9488710544542,406.2430725097656,86562700
2023-10-31,SPY,406.81975444875474,409.1169069376061,404.89406021314903,408.7943420410156,79665200
2023-11-01,SPY,409.77187916766434,413.9751569038601,409.23423119503474,413.154052734375,98068100
2023-11-02,SPY,416.9859182469801,421.22833500470483,416.9663787995536,421.0719299316406,94938900
